epoch	product_id	open_px	high_px	low_px	close_px	cost_basis	unit_ccy	nop	pnl_ccy	open_pnl	high_pnl	low_pnl	close_pnl
1549947420	5	394344	394344	394344	394344	394127.559	BTC	-0.0100	JPY	3.1630120	3.1630120	3.1630120	3.1630120
1549947480									JPY	3.163012000	3.163012000	3.063112000	3.063112000
1549947480	5	394353.99	394353.99	394353.99	394353.99	394127.559	BTC	-0.0100	JPY	3.0631120	3.0631120	3.0631120	3.0631120
1549947590									JPY	3.063112000	5.608112000	3.063112000	5.608112000
1549947590	5	394099.490	394099.490	394099.490	394099.490	NaN	BTC	0.0000	JPY	5.3274220	5.6081120	5.3274220	5.6081120
1549947600									JPY	5.608112000	5.608112000	5.608112000	5.608112000
1549947676									JPY	5.608112000	5.608112000	5.569812000	5.569812000
1549947676	5	394388.000	394391.830	394194.800	394194.800	394194.800	BTC	-0.0100	JPY	5.6081120	5.6081120	5.5698120	5.5698120
1549947780									JPY	5.569812000	5.657812000	5.569812000	5.657812000
1549947780	5	394186	394186	394186	394186	394194.800	BTC	-0.0100	JPY	5.6578120	5.6578120	5.6578120	5.6578120
1549947840									JPY	5.657812000	6.020412000	5.657812000	6.020412000
1549947840	5	394149.74	394149.74	394149.74	394149.74	394194.800	BTC	-0.0100	JPY	6.0204120	6.0204120	6.0204120	6.0204120
1549947908									JPY	6.020412000	6.517812000	5.893412000	5.893412000
1549947908	5	394100	394223.820	394100	394223.820	394223.820	BTC	0.0089	JPY	6.5178120	6.5178120	5.8934120	5.8934120
1549947960									JPY	5.893412000	5.893412000	4.034825000	4.034825000
1549947960	5	394014.99	394014.99	394014.99	394014.99	394223.820	BTC	0.0089	JPY	4.0348250	4.0348250	4.0348250	4.0348250
1549948020									JPY	4.034825000	4.084487000	4.034825000	4.084487000
1549948020	5	394020.57	394020.57	394020.57	394020.57	394223.820	BTC	0.0089	JPY	4.0844870	4.0844870	4.0844870	4.0844870
1549948103									JPY	4.084487000	6.998511000	3.901414000	6.998511000
1549948103	5	394000	394216.000	394000	394084.000	NaN	BTC	0.0000	JPY	3.9014140	6.9985110	3.9014140	6.9985110
1549948140									JPY	6.998511000	6.998511000	6.998511000	6.998511000
1549948320									JPY	6.998511000	9.26014692000	6.998511000	9.26014692000
1549948320	5	394224.000	394224.000	393953	393953	394224.000	BTC	-0.00834552	JPY	6.99851100000	9.26014692000	6.99851100000	9.26014692000
1549948380									JPY	9.26014692000	9.82764228000	9.26014692000	9.82764228000
1549948380	5	393885	393885	393885	393885	394224.000	BTC	-0.00834552	JPY	9.82764228000	9.82764228000	9.82764228000	9.82764228000
1549948440									JPY	9.82764228000	9.82764228000	8.63548474800	8.63548474800
1549948440	5	394027.85	394027.85	394027.85	394027.85	394224.000	BTC	-0.00834552	JPY	8.63548474800	8.63548474800	8.63548474800	8.63548474800
1549948500									JPY	8.63548474800	8.63548474800	7.42413252000	7.42413252000
1549948500	5	394173	394173	394173	394173	394224.000	BTC	-0.00834552	JPY	7.42413252000	7.42413252000	7.42413252000	7.42413252000
1549948560									JPY	7.42413252000	7.57393460400	7.42413252000	7.57393460400
1549948560	5	394155.05	394155.05	394155.05	394155.05	394224.000	BTC	-0.00834552	JPY	7.57393460400	7.57393460400	7.57393460400	7.57393460400
1549948620									JPY	7.57393460400	7.57393460400	7.35745181520	7.35745181520
1549948620	5	394180.99	394180.99	394180.99	394180.99	394224.000	BTC	-0.00834552	JPY	7.35745181520	7.35745181520	7.35745181520	7.35745181520
1549948680									JPY	7.35745181520	7.52427876000	7.35745181520	7.52427876000
1549948680	5	394161	394161	394161	394161	394224.000	BTC	-0.00834552	JPY	7.52427876000	7.52427876000	7.52427876000	7.52427876000
1549948860									JPY	7.52427876000	7.52427876000	5.81503280880	5.81503280880
1549948860	5	394365.81	394365.81	394365.81	394365.81	394224.000	BTC	-0.00834552	JPY	5.81503280880	5.81503280880	5.81503280880	5.81503280880
1549948978									JPY	5.81503280880	7.94698100000	5.42946978480	7.94698100000
1549948978	5	394412.01	394772.280	394224.000	394772.280	NaN	BTC	0E-8	JPY	5.42946978480	7.94698100000	5.42946978480	7.94698100000
1549949019									JPY	7.94698100000	8.09746100000	7.94698100000	8.09746100000
1549949019	5	394533.000	394533.000	394516.280	394516.280	394531.328	BTC	0.01000000	JPY	7.94698100000	8.09746100000	7.94698100000	8.09746100000
1549949153									JPY	8.09746100000	9.24360100000	7.87650100000	8.65340100000
1549949153	5	394660.99	394660.99	394521.380	394572.850	NaN	BTC	0E-8	JPY	9.24360100000	9.24360100000	7.87650100000	8.65340100000
1549949177									JPY	8.65340100000	8.65340100000	8.65340100000	8.65340100000
1549949177	5	394401.270	394401.270	394401.270	394401.270	394401.270	BTC	0.01000000	JPY	8.65340100000	8.65340100000	8.65340100000	8.65340100000
1549949252									JPY	8.65340100000	8.84070100000	8.65340100000	8.70380100000
1549949252	5	394420.000	394420.000	394359.310	394360.310	394360.310	BTC	0.01000000	JPY	8.84070100000	8.84070100000	8.70380100000	8.70380100000
1549949280									JPY	8.70380100000	12.56070100000	8.70380100000	12.56070100000
1549949280	5	394746	394746	394746	394746	394360.310	BTC	0.01000000	JPY	12.56070100000	12.56070100000	12.56070100000	12.56070100000
1549949340									JPY	12.56070100000	12.56070100000	11.2035012000000	11.2035012000000
1549949340	5	394610.28002	394610.28002	394610.28002	394610.28002	394360.310	BTC	0.01000000	JPY	11.2035012000000	11.2035012000000	11.2035012000000	11.2035012000000
1549949400									JPY	11.2035012000000	11.8007010000000	11.2035012000000	11.8007010000000
1549949400	5	394670	394670	394670	394670	394360.310	BTC	0.01000000	JPY	11.80070100000	11.80070100000	11.80070100000	11.80070100000
1549949460									JPY	11.8007010000000	12.8007010000000	11.8007010000000	12.8007010000000
1549949460	5	394770	394770	394770	394770	394360.310	BTC	0.01000000	JPY	12.80070100000	12.80070100000	12.80070100000	12.80070100000
1549949520									JPY	12.8007010000000	12.8007010000000	12.1381010000000	12.1381010000000
1549949520	5	394703.74	394703.74	394703.74	394703.74	394360.310	BTC	0.01000000	JPY	12.13810100000	12.13810100000	12.13810100000	12.13810100000
1549949580									JPY	12.1381010000000	12.1381010000000	11.7904010000000	11.7904010000000
1549949580	5	394668.97	394668.97	394668.97	394668.97	394360.310	BTC	0.01000000	JPY	11.79040100000	11.79040100000	11.79040100000	11.79040100000
1549949664									JPY	11.7904010000000	12.6407010000000	8.8607010000000	8.8607010000000
1549949664	5	394754	394754	394364.000	394364.000	394364.000	BTC	-0.01000000	JPY	12.64070100000	12.64070100000	8.86070100000	8.86070100000
1549949735									JPY	8.8607010000000	8.8702010000000	8.8607010000000	8.8702010000000
1549949735	5	394363.050	394663.403	394363.050	394663.403	394663.403	BTC	-0.01000000	JPY	8.87020100000	8.87020100000	8.87020100000	8.87020100000
1549949814									JPY	8.8702010000000	9.1943310000000	8.6840310000000	9.1943310000000
1549949814	5	394682.02	394682.02	394630.990	394681.120	394681.120	BTC	-0.00700000	JPY	8.68403100000	9.19433100000	8.68403100000	9.19433100000
1549949820									JPY	9.1943310000000	9.5801710000000	9.1943310000000	9.5801710000000
1549949820	5	394626	394626	394626	394626	394681.120	BTC	-0.00700000	JPY	9.58017100000	9.58017100000	9.58017100000	9.58017100000
1549949938									JPY	9.5801710000000	9.9933110000000	9.5359310000000	9.5359310000000
1549949938	5	394566.98	394632.320	394566.98	394632.320	394632.320	BTC	0.00300000	JPY	9.99331100000	9.99331100000	9.53593100000	9.53593100000
1549949961									JPY	9.5359310000000	9.7582310000000	9.5359310000000	9.6904310000000
1549949961	5	394706.42	394706.42	394364.160	394364.160	394364.160	BTC	-0.01000000	JPY	9.75823100000	9.75823100000	9.69043100000	9.69043100000
1549950052									JPY	9.6904310000000	9.9032310000000	6.3451310000000	9.9032310000000
1549950052	5	394698.69	394698.69	394342.880	394342.880	NaN	BTC	0E-8	JPY	6.34513100000	9.90323100000	6.34513100000	9.90323100000
1549950075									JPY	9.9032310000000	9.9032310000000	9.9032310000000	9.9032310000000
1549950075	5	394345.080	394345.080	394345.080	394345.080	394345.080	BTC	0.01000000	JPY	9.90323100000	9.90323100000	9.90323100000	9.90323100000
1549950167									JPY	9.9032310000000	12.3219310000000	9.1595373244000	10.0490310000000
1549950167	5	394586.95	394586.95	394235.720	394235.720	NaN	BTC	0E-8	JPY	12.32193100000	12.32193100000	9.15953732440	10.04903100000
1549950180									JPY	10.0490310000000	10.0490310000000	10.0490310000000	10.0490310000000
1549950310									JPY	10.0490310000000	10.2108310000000	10.0490310000000	10.2108310000000
1549950310	5	394236.200	394236.200	394220.020	394220.020	NaN	BTC	0E-8	JPY	10.04903100000	10.21083100000	10.04903100000	10.21083100000
1549950360									JPY	10.2108310000000	10.2108310000000	10.2108310000000	10.2108310000000
